"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"56",1956,-29.1000003814697,-25.6000003814697,-16.8000011444092,-5,4,9.90000057220459,12.4000005722046,9.19999980926514,2.5,-11.1999998092651,-20.8999996185303,-31.6000003814697
"57",1957,-19.6000003814697,-21.8999996185303,-12.9000005722046,-4.59999990463257,4.09999990463257,12.3000001907349,12.1000003814697,12,4,-5.20000028610229,-12.5,-26.8000011444092
"58",1958,-20.3000011444092,-21.3999996185303,-13.4000005722046,-3.29999995231628,4.80000019073486,13.3000001907349,13.6000003814697,10.5,3.70000004768372,-12,-18.8000011444092,-23.5
"59",1959,-30.2000007629395,-16.8999996185303,-23.2000007629395,-7.70000028610229,3.29999995231628,11.6999998092651,10.1000003814697,8.60000038146973,3.10000014305115,-8.60000038146973,-17.3999996185303,-23.8999996185303
"60",1960,-22.8999996185303,-17.1000003814697,-18.8000011444092,-7.30000019073486,6.40000009536743,9.60000038146973,11.9000005722046,9.19999980926514,2.5,-6.80000019073486,-20.1000003814697,-16.8999996185303
"61",1961,-20.6000003814697,-22.7000007629395,-20.5,-8.69999980926514,4.90000009536743,10.4000005722046,11.6999998092651,9.10000038146973,3.70000004768372,-9.60000038146973,-21.5,-32.2000007629395
"62",1962,-23.1000003814697,-17.3999996185303,-17.6000003814697,-5.90000009536743,2.10000014305115,10.1999998092651,13,11,2.20000004768372,-4.90000009536743,-16.7000007629395,-22.5
"63",1963,-20.1000003814697,-19,-17.3999996185303,-6.40000009536743,5.09999990463257,8.60000038146973,12,10,4.40000009536743,-6.40000009536743,-23.7000007629395,-17.8000011444092
"64",1964,-26.8999996185303,-19.5,-21.8000011444092,-8.40000057220459,0,10.6999998092651,11.6000003814697,9.60000038146973,4,-5,-17.3999996185303,-33.1000022888184
"65",1965,-27.3000011444092,-27.5,-7.5,-4.70000028610229,2,9.10000038146973,11.9000005722046,8.69999980926514,5.5,-11.8000001907349,-17.8999996185303,-25.3999996185303
"66",1966,-32.7000007629395,-22.1000003814697,-20.2000007629395,-7.5,2.70000004768372,11.6000003814697,12.1999998092651,9.10000038146973,5,-7.59999990463257,-19.6000003814697,-26.7000007629395
"67",1967,-26.5,-22.6000003814697,-15.3000001907349,-4.70000028610229,3.29999995231628,11.5,11.6999998092651,10.1000003814697,4.40000009536743,-7.5,-15.4000005722046,-21.7000007629395
"68",1968,-25.6000003814697,-21.3999996185303,-12.6999998092651,-6.5,3.90000009536743,10.5,13.8000001907349,10.4000005722046,2.40000009536743,-8.5,-17.5,-29.3999996185303
"69",1969,-32.7999992370605,-23.2000007629395,-15,-2,5.20000028610229,13.3000001907349,11.1000003814697,6.40000009536743,4.80000019073486,-3.10000014305115,-19.6000003814697,-16
"70",1970,-27.1000003814697,-15.6999998092651,-10.6000003814697,-4.80000019073486,5,9.30000019073486,12,9.30000019073486,0.699999988079071,-11.1999998092651,-15.6999998092651,-24.8000011444092
"71",1971,-35.7000007629395,-22.5,-20.7000007629395,-7.40000009536743,3.40000009536743,12,12.1999998092651,9.19999980926514,3.29999995231628,-8.30000019073486,-20.1000003814697,-24.3999996185303
"72",1972,-30.2000007629395,-27,-22,-11.1999998092651,3.29999995231628,10.5,13.4000005722046,11.1999998092651,1.60000002384186,-7.20000028610229,-17.2000007629395,-23.2000007629395
"73",1973,-29.3999996185303,-22.6000003814697,-15.1999998092651,-3.70000004768372,4.70000028610229,10.5,12.1000003814697,8.69999980926514,4.5,-8.40000057220459,-23.3999996185303,-21.8000011444092
"74",1974,-28.7000007629395,-28.3000011444092,-17.8000011444092,-4.90000009536743,5,9.69999980926514,12.4000005722046,10.6999998092651,5.80000019073486,-9.19999980926514,-19,-24.8000011444092
"75",1975,-28.2000007629395,-22.6000003814697,-14.8000001907349,-5.90000009536743,5.40000009536743,10.9000005722046,13.9000005722046,9.69999980926514,3.79999995231628,-8,-23.8999996185303,-28.8000011444092
"76",1976,-25,-27,-15.6000003814697,-3,4.20000028610229,10.6000003814697,12.6999998092651,11.6000003814697,5.20000028610229,-7.5,-10.9000005722046,-22.7000007629395
"77",1977,-15.5,-13.8000001907349,-18.1000003814697,-6.80000019073486,4.40000009536743,10.8000001907349,13,13.1000003814697,4.80000019073486,-6.20000028610229,-23.2000007629395,-27.3000011444092
"78",1978,-19.6000003814697,-18.3000011444092,-13.5,-3.70000004768372,4.70000028610229,9,13.6000003814697,11.1000003814697,5.80000019073486,-8.5,-15.1999998092651,-20.2000007629395
"79",1979,-22.5,-29.7000007629395,-15,-5,5.90000009536743,10,13,12.3000001907349,5.09999990463257,-3.70000004768372,-10,-27
"80",1980,-26.1000003814697,-14.3000001907349,-12.9000005722046,-3.10000014305115,6.20000028610229,11.1000003814697,12.4000005722046,9.10000038146973,1.89999997615814,-4.20000028610229,-14.1999998092651,-33.7000007629395
"81",1981,-10.4000005722046,-17.6000003814697,-8.69999980926514,-5.90000009536743,7.5,9.69999980926514,10.8000001907349,9,3.10000014305115,-5.40000009536743,-14.8000001907349,-22.5
"82",1982,-31.1000003814697,-22.6000003814697,-15.4000005722046,-7,2.60000014305115,10.6999998092651,13.1000003814697,9.5,5.5,-11.6999998092651,-19.2000007629395,-20.3999996185303
"83",1983,-26.8000011444092,-19.2000007629395,-16.3000011444092,-3.10000014305115,4.09999990463257,11.6000003814697,13,8.60000038146973,0.699999988079071,-9.10000038146973,-15.5,-23.2000007629395
"84",1984,-23.3000011444092,-25.2000007629395,-11.3000001907349,-5.40000009536743,3.90000009536743,11.6999998092651,11.6999998092651,8.40000057220459,4.5,-7.80000019073486,-20.3000011444092,-23.5
"85",1985,-12.9000005722046,-25.1000003814697,-13.9000005722046,-10.6999998092651,3.40000009536743,9.5,12.3000001907349,9.19999980926514,3.20000004768372,-10.1999998092651,-22.2000007629395,-14.9000005722046
"86",1986,-18.8000011444092,-18.1000003814697,-18.2000007629395,-10.9000005722046,3.20000004768372,11.4000005722046,12.6999998092651,8.40000057220459,4.40000009536743,-7,-21.3000011444092,-16
